table,id,word,part_of_speech,english_translation,word_length,difficulty_level
"dictionary_ai","7871d35a-82cd-44b7-bb39-1bbf2c6b83b7","Ẽkán-ẹkun","n.","(lit.—lion’s paws); a prickly plant, so called from its prickles resembling lion’s paws.","9","advanced"
"dictionary_ai","bed8bb29-9184-4133-8a47-8abaf069f603","Enia-dudu","n.","black man; negro; coloured man.","9","advanced"
"dictionary_ai","d539a239-ccfd-4adc-92d0-8a542f33a793","Ẽporà","n.","the bark of a tree which contains much acid; juice; medicinal bark.","5","intermediate"
"dictionary_ai","fb4cd7c5-ae0f-4bd6-905f-9eb773c741a1","Ẹṣinṣin-ẹfọ̀n","n.","the gadfly. Also called Iru.","13","advanced"
"dictionary_ai","e1cd98a3-e6a1-4f0e-9e82-af14a908d43b","Ẽmọ̀","n.","wonder; strange occurrence.","4","easy"
"dictionary_ai","dd06eb7d-a96a-4021-b6c0-b2d342820d5e","Eyinã","adj. pro.","this same; the same; self-same.","5","intermediate"
"dictionary_ai","fac62035-6d41-4d81-8b2e-b2e676ca2ada","Ẹbọ-akoso","n.","offering of first-fruits.","9","advanced"
"dictionary_ai","96a7206d-6661-4281-bdfd-b6fa776e6bed","Ẹfọ́n","n.","arrow.","5","intermediate"
"dictionary_ai","93d8087e-4949-4778-b7b7-248c9b783de1","Ẹgán","n.","a dense primitive forest, never cultivated.","4","easy"
"dictionary_ai","70370268-3f67-4f2b-9190-38d0552a5521","Ewú, Ewusa","n.","a large rodent which goes about only in the night.","10","advanced"
"dictionary_ai","2be7dcef-9e53-442c-ba9f-07bac72801c7","Ẹ̀gbẹ́","n.","the side, from the armpit to the waist; loins; place; adv. alongside.","6","intermediate"
"dictionary_ai","4dc21b5f-0fb4-490c-9412-db400240a323","Ẹhin","n.","the back; backside. adj. hindermost; last; rear.","4","easy"
"dictionary_ai","e3d680a6-f57e-4310-a5e7-96c4d5e3fe1a","Ẹkadọrun","adj.","ninetieth.","8","advanced"
"dictionary_ai","a68e24b5-721b-4056-a079-3b74456c0560","Ẹlẹgẹ","adj.","delicate; tender; brittle. n. delicacy; tenderness; brittleness.","5","intermediate"
"dictionary_ai","8a6ccbfd-6029-4304-9549-0f5979a53b7e","Ẹ̀kẹ́","n.","cheek; jaw.","5","intermediate"
"dictionary_ai","cf4c208f-273a-4a01-a166-197be67a904c","Ẹkẹtadilogun","adj.","seventeenth.","12","advanced"
"dictionary_ai","be25206b-9070-4367-927a-ef9a78a8914c","Ẹkun-oke","n.","highlands; high parts of a country.","8","advanced"
"dictionary_ai","2e33818e-e412-4ace-90d0-b4dda6363ede","Ẹlẹsẹ̀ mẹrin","adj.","four-footed. n. quadruped.","12","advanced"
"dictionary_ai","56252468-527f-4d55-90c8-1bfb89601efe","Ẹlú","n.","indigo; mixture.","3","easy"
"dictionary_ai","4f4ef2d8-bc8a-4061-bc81-b9d3c4e06170","Ẹni, Ẹniti","pro.","one; he who; a person; the person which.","10","advanced"
"dictionary_ai","73591fde-2d32-490d-b65f-cb80d92d8893","Ẹnikẹni, Ẹnitowu","pro.","whosoever; whoever; any; either.","16","advanced"
"dictionary_ai","ab4f1c58-0a15-41d3-83eb-1a2a5e047089","Erukọnrin","n.","a male slave.","9","advanced"
"dictionary_ai","195395e5-068f-4c85-b54a-d71b598846fe","Enu ọ̀ṣọ̀rọ̀","n.","the eaves of a house.","12","advanced"
"dictionary_ai","c2e3a364-8cba-4844-8ca1-a1bd46725985","Ẹran jijẹ","n.","meat for food; animal food.","9","advanced"
"dictionary_ai","43bba923-0fd9-46a4-956d-430814944579","Ẹrú ibile","n.","a slave born in the master's house.","9","advanced"
"dictionary_ai","9d7e58b9-ca37-4b49-ac14-932a1a40ef49","Ẹṣẹ́","n.","a blow with the fist; a cuff; a broken part of anything.","4","easy"
"dictionary_ai","7ac81877-ec05-4384-8506-fe8e6deadcfa","Ẹwa meje","adj.","seventy.","8","advanced"
"dictionary_ai","cb865c19-3fc5-4b8a-afb2-85c6d0bba10a","Fajurọ","v.","to look sad; be displeased; sulky.","6","intermediate"
"dictionary_ai","a396a707-d3fe-4649-ab3d-eb323bc6e59e","Fàmọ́ra","v.","to attract; caress; adhere; embrace; hug.","7","advanced"
"dictionary_ai","376bb100-03ad-42fe-ad3d-e96485011f5f","Ẹyẹ","n.","fitness; worthiness; suitableness; right.","3","easy"
"dictionary_ai","0ae49fda-c2d8-4931-b040-417460967338","Bọ̀rọ́ bọ̀rọ́","adj.","slippery.","13","advanced"
"dictionary_ai","00a71f03-9a0d-43ed-a22a-c83f31f1a94c","Aìwà","adj.","not digging; not pulling or propelling a canoe.","4","easy"
"dictionary_ai","569f609d-4335-46e9-8d76-a2aa75a2e8bd","Aìsáré","n.","ceaselessness, not weary.","6","intermediate"
"dictionary_ai","adf80437-3a9e-43fa-8a38-6da44be1896e","Elérè","n.","one who gains or makes profit.","5","intermediate"
"dictionary_ai","94f8fee8-e532-4e89-8aed-1ff5844428c4","Elẽrí","n.","an unclean person; a dirty or filthy person. adj. dirty; filthy.","5","intermediate"
"dictionary_ai","1abe522e-d94f-4e3d-88f8-f45fbef8ded7","Elérù","n.","a cheat; a shuffler.","5","intermediate"
"dictionary_ai","6c62902e-6e51-43a4-b439-65ada8f833d9","Elerupẹ","adj.","earthy; made of dust.","7","advanced"
"dictionary_ai","6f8c7c7c-1b00-4597-8e59-ee4505f2f189","Elépo","n.","palm-oil seller.","5","intermediate"
"dictionary_ai","7a8dbcfe-1e7e-488e-a9ca-ccbecc16c22c","Ẹgbárá","n.","a rat remarkable for swiftness.","6","intermediate"
"dictionary_ai","1ed0a186-9b6f-4d92-9dc0-2372b895b40f","Ẹ̀gbẹ","n.","prepared beans.","5","intermediate"
"dictionary_ai","8ce6f2b9-9ac5-462c-a13b-1d088705a491","Ẹta ina","n.","a spark.","7","advanced"
"dictionary_ai","0359bd86-35b4-412f-868b-8f334db49975","Fẹjú","v.","to look sternly; to distort the face.","4","easy"
"dictionary_ai","011f85fb-12af-41f6-8cd4-a29a0550de5b","Bora","v.","to cover the body.","4","easy"
"dictionary_ai","cfc31b80-1f7f-42aa-9dfc-52483327bd4d","Bíbọ̀lọwọ","n.","that which is to be shaken by the hand; a shaking of the hand.","9","advanced"
"dictionary_ai","efb9f58f-4b04-44b9-b84f-d8f77239f54d","Bíbù","n.","that which is taken out of a collective mass; reducible.","4","easy"
"dictionary_ai","df359a8c-9d7f-4544-831b-7fffd02ec701","Bíbùléni","adj.","finable; that which is to be fined.","8","advanced"
"dictionary_ai","aa977f1a-1d4c-4341-b2ad-638f457e7057","Bibùṣán","adj.","bitten; that which is to be bitten.","7","advanced"
"dictionary_ai","07a26f42-fb28-4710-89ed-90fdda9e8cb1","Bí-eṣu","adj.","satanic; devilish.","6","intermediate"
"dictionary_ai","b79615c4-f03a-4a0d-a4a5-b97f9a604b9a","Bí-ẹranko","adj.","brutish; like a beast.","9","advanced"
"dictionary_ai","55f8dc1d-333f-40aa-98b6-2c650e666f7a","Bíkítà","v.","to notice; regard; to care.","6","intermediate"
"dictionary_ai","baeef443-0198-406c-a215-41b4a630b6f9","Bí-lẹjọ","v.","to question one on a charge brought against him.","7","advanced"
"dictionary_ai","9520fe8c-5277-4b2b-8be2-312fb2e3aa53","Bìnàbinà","n.","abusive language.","8","advanced"
"dictionary_ai","127157f3-1f31-4e7b-acaf-889496ec386f","Bí o ba","conj.","if it should be; in case he should (generally followed by jẹ pe or ṣe pe).","7","advanced"
"dictionary_ai","ace6d6c7-83ff-4c2e-b3f0-74b08f9e3213","Bí-oruka","adj.","circular; ring-like.","8","advanced"
"dictionary_ai","29e6ebf1-4824-4d11-8fcf-8e3197981a7a","Bí-owe","adj.","as a proverb; proverbially.","6","intermediate"
"dictionary_ai","f45a1e98-3515-4650-8841-a48f57b46d0c","Bíbọ́lọwọ-àrùn","n.","convalescent.","14","advanced"
"dictionary_ai","36d9b077-e6a6-47d4-b09a-e4bcad92066e","Bikoṣe, Bikoṣepe, Bikoṣebi","conj.","but; except; unless; if.","26","advanced"
"dictionary_ai","6ba3b55b-7382-4869-b816-e8c3872c3c17","Bĩrí","adj.","occupying a small space; within a small compass.","4","easy"
"dictionary_ai","42de5f3d-4a21-4061-a1cd-b458c392795e","Biribiri","a.","very (usually followed by Sú, to be dark).","8","advanced"
"dictionary_ai","8b4b41ee-d181-4ea2-8839-b29f67fdfe4e","Bĩwò","adv.","like in form.","4","easy"
"dictionary_ai","d0b49121-e30a-41ab-b581-04fa5e5e6d5f","Bĩyẹ","adv.","like a feather.","4","easy"
"dictionary_ai","178a07b9-b60f-4b8d-a83c-cb2e3a113802","Bòbó","n.","wild acacia or locust tree, the fruit of which is used as a cure for whitlow.","4","easy"
"dictionary_ai","d9f2af67-7442-432a-878f-18846877425e","Bojujẹ","v.","to make a wry face; to writhe; to look sad.","6","intermediate"
"dictionary_ai","7e7f30e1-cd1d-45a6-9812-66712567c924","Bókanran","conj.","otherwise; rather than.","8","advanced"
"dictionary_ai","ec679125-0bb1-47a2-9383-3005d3b819b5","Bolawo","v.","to skin, flay or peel.","6","intermediate"
"dictionary_ai","dcb302e6-a76c-414a-950d-55fb236b5275","Boleṣebí, Boleṣepe","adv.","if possible.","18","advanced"
"dictionary_ai","072d48e8-e8ce-4e02-91c1-058af930b37e","Bomọ́","n.","white-grained Guinea-corn.","5","intermediate"
"dictionary_ai","f2603de7-4308-4b74-ba6a-73864b445ced","Boṣepe","conj.","if it had been.","6","intermediate"
"dictionary_ai","db6092d1-5f81-4edc-90d5-3b0539954d23","Botilẹṣepe, Botilẹjẹ","conj.","though; nevertheless; albeit; although.","20","advanced"
"dictionary_ai","97f15f2e-8a5d-4239-b38f-79eb3e5e89b5","Boye","adv.","except, unless.","4","easy"
"dictionary_ai","cc533bed-b37d-46ab-b551-632bee84d7a3","Bọ̀","v.","to return; to arrive; to travel towards; to come.","3","easy"
"dictionary_ai","9ded78ea-d123-4964-9c02-3cfd0af4c386","Bọ́-loyè","v.","to deprive of title; to depose; to dethrone.","8","advanced"
"dictionary_ai","8b3f1fdf-8541-4b67-8599-0c9958a04ee9","Bọ́lẹ̀","v.","to plaster or beat mud floors.","6","intermediate"
"dictionary_ai","5e2bf5b7-9768-44e4-9490-7790973248fb","Bọri","v.t.","to worship the god of the head.","4","easy"
"dictionary_ai","f40b6033-dd2d-4d1d-acca-c4fc95cc7c39","Bọ̀rọ̀ kònú","adj.","profligate; wasteful; stupid.","11","advanced"
"dictionary_ai","5466fbb0-e569-4057-871a-1a2efcdd23b1","Bọsìlẹ̀","v.","to drop; to fail.","7","advanced"
"dictionary_ai","579e4e01-f834-44e4-b455-94f6b8b6ac56","Bu","v.","to mildew; to decay; to moulder.","2","easy"
"dictionary_ai","26fd6c4f-67b7-4621-99ee-79aeebd64026","Bùjé","n.","a plant bearing a round fruit, the juice of which is used in tattooing.","4","easy"
"dictionary_ai","8f005727-8cb1-4b0b-845c-1828d1f8b63a","Búkà","n.","a hovel; a stall; a market shed.","4","easy"
"dictionary_ai","48efa123-9e6e-402d-96ed-60f7ec9d7f3b","Bùlé","v.","to put upon; to charge upon; to impose a fine.","4","easy"
"dictionary_ai","436f44f0-633c-4e04-9d49-00e13b93e045","Bùn láyè","v.","to give place; to permit.","8","advanced"
"dictionary_ai","134e7f21-287c-4b43-a88a-c0658a3e5112","Bupa-bupa","n.","a vaccinator.","9","advanced"
"dictionary_ai","0541b4bd-2767-499d-8564-da5e03e8fd58","Buru","adj.","wicked; bad; ill; infamous; hideous; noxious.","4","easy"
"dictionary_ai","2b42503f-ad46-41de-b18e-7acc5e5e586f","Buru-rekọja","adj.","hopelessly wicked.","11","advanced"
"dictionary_ai","ca64894d-f51b-4d8b-a686-f4a59ef63989","Buso","n.","a stall in which cattle are tied at night-time.","4","easy"
"dictionary_ai","a2d1785d-907f-48b3-9223-e8cd89a184fa","Busọ","n.","a resting place for travellers; an inn; a place for refreshment; a market stall.","4","easy"
"dictionary_ai","1e62785b-fcca-4a61-829a-ee1b91ffc958","Buṣe","v.","to be almost finished.","4","easy"
"dictionary_ai","e58d3ede-279c-4ac3-b894-33611d594ce6","Buwólé","v.","to prize; to value; to estimate.","6","intermediate"
"dictionary_ai","cd21bd61-7b16-481f-8a88-6c6b79e88c0d","Dabí","v.","resemble; to be like; seem.","4","easy"
"dictionary_ai","7d632022-e6ef-460d-95fc-dbe4eb2ce4a7","Da . . . bulẹ̀","v.","to cause to lie down; to confine to bed.","14","advanced"
"dictionary_ai","01d61c56-8166-4177-865a-115b2fb41849","Daduro","v.","to stop; detain; prevent; stay; arrest; interrupt; hinder; intercept.","6","intermediate"
"dictionary_ai","c6fbfd78-a82e-4815-ad02-9ef93885da9d","Daradara","adj.","ti o dara; good; nice.","8","advanced"
"dictionary_ai","6ddc09cd-ce30-4e96-9e2c-172fa65f0851","Ejinrin","n.","a creeping plant.","7","advanced"
"dictionary_ai","d1ccd6ac-a3e5-4810-bcb4-397847175b8f","Dájà (da-ijà)","v.","to create, cause, or provoke a quarrel or fight.","13","advanced"
"dictionary_ai","cfa85125-72c2-4bb7-b5ba-f2817f447b39","Daji","v.","wake up suddenly; to rise very early in the morning.","4","easy"
"dictionary_ai","265b2251-0333-42e5-9aae-98c954590031","Dajú (da oju)","adj.","shameless; certain; plain; v. to be certain.","13","advanced"
"dictionary_ai","e61b820f-fba9-4dad-99e8-fbab0fc8469c","Dakele","v.","to gamble with food (an Ekiti custom).","6","intermediate"
"dictionary_ai","d3ef45b0-da93-4347-96f4-cad86cde2a26","Dakọja","v.","step across; pass over; neglect.","6","intermediate"
"dictionary_ai","f251f104-a16f-4b5c-8738-3fdacb074c5b","Dákun","v.","""Please pardon me,"" ""I ask your pardon."" (Always used in the Imperative mood.)","5","intermediate"
"dictionary_ai","5c8d5304-f874-4d9a-993d-9206bea219da","Da . . . lagara (da-ni-agara)","v.","to weary; exhaust the patience of.","29","advanced"
"dictionary_ai","2beb7bc0-c0f8-4125-a5d2-ec7a8d0cb50a","Dalẹ̀ (da-ilẹ̀)","v.","to prove faithless to an agreement; to break oath.","15","advanced"
"dictionary_ai","dc962834-3a5e-4a24-8953-bcb91ecff596","Da . . . lojude","v.","upset; capsize; overset.","15","advanced"
"dictionary_ai","df106f09-3ca3-4bda-b214-c80bc8ff5436","Da . . . loko ẹru","v.","emancipate; ransom; a slave.","17","advanced"
"dictionary_ai","2578244f-b01f-4d0a-81af-9d69167e1905","Damọran (da-imọ-ọran)","v.","give advice; propose.","21","advanced"
"dictionary_ai","9be945a1-38ed-4cda-9594-f7630461454f","Dan","adj.","bright; polished; smooth; v. shine, glitter; to be smooth; make bright; polish; lubricate.","3","easy"
"dictionary_ai","9d8913ce-7a1d-41c0-b1fa-191237c7fed0","Dàndán","n.","a substance resembling fish scales found in the soil of some parts of the Yoruba Country, such as Ile Ifẹ.","6","intermediate"
"dictionary_ai","7a3183e6-9574-4142-9284-6d44613eb3cf","Da . . . niyemeji","v.","to cause to doubt.","17","advanced"
"dictionary_ai","7f9f0000-97e3-4a34-a790-d3993e19d90b","Dan . . . wò","v.","tempt; try; prove.","12","advanced"
"dictionary_ai","4f1e8198-aaea-452c-a5e9-71bc8ced0efe","Dapatá (da-apata)","v.","to be hard; to be callous.","17","advanced"
"dictionary_ai","e2045f36-9f8f-462c-8fae-81abd4deca57","Dapọmọra","v.","commingle; mix together.","8","advanced"
"dictionary_ai","a2c0d0a4-81ee-41aa-a05c-548f6bd82249","Dàaàn (da-ọràn)","v.","offend; commit a grievous sin; trespass; get into a scrape; incur a heavy penalty; commit sacrilege.","15","advanced"
"dictionary_ai","6ae5aecd-988d-48ee-b2d8-f696488889af","Daraya","v.","to be cheerful; play; to be lively; to amuse oneself; to be gay.","6","intermediate"
"dictionary_ai","77391775-ea1b-485e-bf8d-9bff6ada1e53","Dari . . . kọ","v.","to turn the direction of; go towards. adv. never; no.","13","advanced"
"dictionary_ai","6c859078-bd11-4e0f-9273-bda79e55f2d9","Dárò","v.","to lament; wail; think longingly of another.","4","easy"
"dictionary_ai","15a69c39-47a3-4e5e-8149-8c186937e399","Darudapọ̀","adv.","promiscuously; indiscriminately; in confusion.","9","advanced"
"dictionary_ai","61f088e0-1fe3-4948-9a85-774e4237eaf6","Dasẹ̀ (da-ẹsẹ)","v.","to cease from going to a place; to refrain from visiting a place; make oneself scarce.","14","advanced"
"dictionary_ai","c334a63e-dc1e-41f9-bd28-454bf5e681e1","Dà . . . silẹ (dà-si-ilẹ)","v.","pour on the ground; shed; spill.","25","advanced"
"dictionary_ai","82784381-1c4e-4231-b0f1-e932c8052e80","Dá wẹ","v.","bathe alone, wash alone. Dá used in such a sense means alone, by one-self.","5","intermediate"
"dictionary_ai","184d3b24-efc9-4058-8722-a2500c8ae33c","Dawo ẽsu, Da-ẽsu","v.","to save one's money by joining a kind of club called Ēsu.","16","advanced"
"dictionary_ai","752fa678-9db8-4cc0-bb95-72fc9abaddac","Dawọ","v.","to hold the hand; to stop, cease, stay.","4","easy"
"dictionary_ai","d9add6c4-746a-4913-a917-cfd83d919d2e","Dawọle (da-ọwọ-le)","v.","venture upon; undertake.","18","advanced"
"dictionary_ai","c32e974e-6a32-449e-b9cc-f6823753f4f6","Debipa (da-ebi-pa) Febipa","v.","to starve.","25","advanced"
"dictionary_ai","dd566c5f-73df-4aac-931b-93b54b2267fe","De . . . lẹwọn","v.","to chain; fetter; handcuff.","14","advanced"
"dictionary_ai","986f2a64-e42c-428a-bd05-8e47b346058c","Dẽsu","v.","see Dawo ēsu.","4","easy"
"dictionary_ai","1a7144ea-4177-4fa8-b506-36572aba3064","Dẹ̃","v.","to set a trap; ensnare; tempt; bait; allure; decoy; hunt.","3","easy"
"dictionary_ai","47676a5f-7652-42da-8b23-3f9a8e53d76c","Dẹra (dẹ ara)","v.","to be lax; to flag; yielding.","13","advanced"
"dictionary_ai","8491bae3-9147-425e-aaf0-650224cc2192","Dẹrù . . . bà","v.","to frighten; affright; scare.","13","advanced"
"dictionary_ai","721971bb-c276-447d-a74d-4e66883647b7","Dẹsẹduro, Tẹsẹduro","v.","to halt; wait; stay.","18","advanced"
"dictionary_ai","c4b4c0cd-394d-49e0-b908-b9281d724793","Dẹtì","v.","impersonal, it fails; it is impossible.","4","easy"
"dictionary_ai","bb130593-5772-4206-a2c8-f2f5e1300a2b","Dì","v.","tie; bind; unite; freeze; congeal; coagulate. adj. congealed; frozen; dense.","2","easy"
"dictionary_ai","95f8a503-1acf-46d8-a4e9-cce3eacefa25","Didá","n.","the act of giving effect to any action.","4","easy"
"dictionary_ai","66c3bcb4-ac3f-4b78-8e2d-45f6a22054e8","Didabá","n.","the act of imagining; conjecturing or speculating.","6","intermediate"
"dictionary_ai","bf6b67ec-21ed-4f3f-b874-98fa6121ef20","Didè","n.","the condition of being bound or chained.","4","easy"
"dictionary_ai","c0d06159-a532-498c-8a31-72911a1fbad2","Diẹdiẹ","adv.","little by little; a little at a time.","6","intermediate"
"dictionary_ai","d103a0de-493b-47b2-8c4d-4669ce9c64b4","Dígbà (da-igbà)","v.","to appoint a certain time; fix a time.","15","advanced"
"dictionary_ai","89044d34-557e-434d-9445-476836dd0046","Dijà (da-ijà)","v.","to be the cause of a quarrel.","13","advanced"
"dictionary_ai","a8c19f0b-0b05-4329-ab0a-83a3e9e25c49","Dikasi","v.","to become stale; become mouldy; to be musty.","6","intermediate"
"dictionary_ai","80ba48bf-ee06-4a79-bcab-d9e99afb67bf","Di . . . lẹnu","v.","muzzle; to shut the mouth of.","13","advanced"
"dictionary_ai","a9ed0d25-ce16-4722-8932-8c1cdf34cd7a","Dimọ̀lu","v.","to take counsel together.","7","advanced"
"dictionary_ai","8fa29e98-b9ef-46d9-8168-5f934de0cb0a","Di . . . nihamọra","v.","to arm harness; clothe in armour.","17","advanced"
"dictionary_ai","06fcb62e-d097-43ec-a100-fae2f1bc2275","Dipò","v.","succeed; to be a substitute. prep. instead of; in the place of.","4","easy"
"dictionary_ai","dc8f9469-2bf3-44f5-8477-7557f9f2f2d3","Dirí","v.","to plait the hair.","4","easy"
"dictionary_ai","6f3b64b4-a3a8-4144-b06d-af6a2313ee50","Díwọ (dí-ọwọ́)","v.","to take one's whole attention; to engage one's time.","14","advanced"
"dictionary_ai","68481114-1710-4795-bf1b-01b683210de9","Dofo (di-ofo)","v.","to become empty.","13","advanced"
"dictionary_ai","7b489517-4b20-4cad-8b92-f80c9b5a0e1d","Dojubolẹ (da-oju-bọ-ilẹ)","v.","to prostrate with the face on the ground.","24","advanced"
"dictionary_ai","16d4becd-909e-4097-b3e3-1e669a9ae9a3","Domi (da-omi)","v.","to become watery; to become liquid.","13","advanced"
"dictionary_ai","b3638c5b-3676-4d01-b514-65a0b9e55dfe","Dũrũ","adj.","important.","4","easy"
"dictionary_ai","241048f9-d4f2-4c6c-afb9-b1cd0419fda9","Ebè","n.","a heap of earth made for planting; bed; hillock.","3","easy"
"dictionary_ai","73aafe04-1e14-45d7-b082-e7ecaca33dde","Àifò","n.","something not omitted; a sickness too far advanced for treatment; unable to fly","4","easy"
"dictionary_ai","7b8a5501-ee9d-4b9c-9321-5c8252517cda","Daidagiri","v.","create alarm; raise a panic.","9","advanced"
"dictionary_ai","ab08ab6c-3811-4269-bba9-9ddf550eb9be","Édú","n.","a kind of wild goat.","3","easy"
"dictionary_ai","c30e1564-c8f3-412a-812c-d3197b15ab4f","Efinrin","n.","an aromatic shrub resembling mint, having medicinal properties.","7","advanced"
"dictionary_ai","5f83fdfa-5690-4615-a60a-d5b63d56a1ec","Ẽfó","n.","bubbles; froth.","3","easy"
"dictionary_ai","824168a7-6b98-4b60-b1a8-a86f594243b1","Efù","n.","a coated tongue caused by a disordered stomach.","3","easy"
"dictionary_ai","f570d1f9-4d3e-4228-8911-a91b9cb6e514","Égbẽ","n.","a cane used in the framework of a thatched roof.","4","easy"
"dictionary_ai","636247c3-e9c6-4fc5-9528-1b5480436b3c","Egbere","n.","a small animal; an evil spirit supposed to be of very small stature. It is said to wander abroad at night and to frequent the woods.","6","intermediate"
"dictionary_ai","b5315eac-3ce3-4a9d-8b25-3f1b9a352198","Egbogi (egbò-igi)","n.","medicine (lit.—root of a tree).","17","advanced"
"dictionary_ai","7a641580-4e38-488c-b42b-7df21bb24017","Ẽgun, Egungun","n.","bone; skeleton.","13","advanced"
"dictionary_ai","d788e0af-8988-4470-80f8-56386322a8d9","Ẽhó","n.","froth; foam.","3","easy"
"dictionary_ai","975100cc-d2f0-4c1a-9add-0e109b0c6491","Èhù","n.","birds like palm-birds generally found in flocks; offset; offshoot; bud; weed; seedling; sprout.","3","easy"
"dictionary_ai","e62d4b66-3037-4a3a-956d-7da2c562a9b4","Eje-ọdun","n.","the seventh month in the year—July.","8","advanced"
"dictionary_ai","be1066c9-6826-4922-bd5a-c6fd76a48e46","Èjì-ọdun","n.","the second month in the year—February.","8","advanced"
"dictionary_ai","4905bc97-abb7-4190-9184-d89e64212a9f","Èkuru","n.","meal made of ground white beans or corn (when made of corn it is called èkuru agbado); sometimes called kuduru.","5","intermediate"
"dictionary_ai","0ff43e6a-a318-4395-82b9-0062732fb1c0","Ẽlà","n.","wedge.","3","easy"
"dictionary_ai","c4457184-6353-46ee-ad8e-bd26388774be","Èlé","n.","interest; usury; surplus; a course of mud in building mud walls.","3","easy"
"dictionary_ai","dcb6c1c0-9e5a-4633-8407-7b681f6456f4","Eledemeji","n.","equivocator; double-dealer.","9","advanced"
"dictionary_ai","1a322652-ea45-4966-89b2-78de7e7682ad","Elegede","n.","pumpkin.","7","advanced"
"dictionary_ai","e3966a20-92ba-4fbd-954e-01d68209b9a3","Elésè-aluko","adj.","purple.","11","advanced"
"dictionary_ai","29bcaa7f-a2f9-4734-bbf4-45a266411429","Elèṣù","adj.","wicked; devilish.","5","intermediate"
"dictionary_ai","dc56a252-ecd7-4670-a5fd-4995fb0e8fee","Èló, Ẽló","adv.","How much?","8","advanced"
"dictionary_ai","8bf27692-ddf4-4fea-a7d9-00b72e34ad61","Ẽlọ̀, Õlọ̀","n.","grinder; digestive organs.","10","advanced"
"dictionary_ai","ef8bad0e-d5d6-4921-9da4-d9cecacce33c","Emìnà","n.","a trailing plant bearing fruit on a stalk.","5","intermediate"
"dictionary_ai","96a0bf65-e670-4ce7-be4d-723f072263a1","Emitikarami, Emitikalami","refl. pro.","I myself; myself.","24","advanced"
